TOKENS 		 LEXEMES 
bool	 = 	 KEYWORD 
bool1	 = 	 IDENTIFIER 
,	 = 	 SEPARATOR 
bool2	 = 	 IDENTIFIER 
,	 = 	 SEPARATOR 
bool3	 = 	 IDENTIFIER 
;	 = 	 SEPARATOR 
bool	 = 	 KEYWORD 
hey	 = 	 IDENTIFIER 
;	 = 	 SEPARATOR 
hey	 = 	 IDENTIFIER 
=	 = 	 OPERATOR 
true	 = 	 KEYWORD 
;	 = 	 SEPARATOR 
hey	 = 	 IDENTIFIER 
=	 = 	 OPERATOR 
false	 = 	 KEYWORD 
;	 = 	 SEPARATOR 
int	 = 	 KEYWORD 
num	 = 	 IDENTIFIER 
,	 = 	 SEPARATOR 
nu2m	 = 	 IDENTIFIER 
,	 = 	 SEPARATOR 
large$	 = 	 IDENTIFIER 
;	 = 	 SEPARATOR 
float	 = 	 KEYWORD 
num1	 = 	 IDENTIFIER 
,	 = 	 SEPARATOR 
num2	 = 	 IDENTIFIER 
,	 = 	 SEPARATOR 
num3	 = 	 IDENTIFIER 
;	 = 	 SEPARATOR 
boolean	 = 	 IDENTIFIER 
error	 = 	 IDENTIFIER 
;	 = 	 SEPARATOR 
;	 = 	 SEPARATOR 
num	 = 	 IDENTIFIER 
=	 = 	 OPERATOR 
0	 = 	 INTEGER 
;	 = 	 SEPARATOR 
nu2m	 = 	 IDENTIFIER 
=	 = 	 OPERATOR 
15	 = 	 INTEGER 
;	 = 	 SEPARATOR 
z	 = 	 IDENTIFIER 
=	 = 	 OPERATOR 
c	 = 	 IDENTIFIER 
+	 = 	 OPERATOR 
d	 = 	 IDENTIFIER 
;	 = 	 SEPARATOR 
a	 = 	 IDENTIFIER 
=	 = 	 OPERATOR 
e	 = 	 IDENTIFIER 
-	 = 	 OPERATOR 
f	 = 	 IDENTIFIER 
;	 = 	 SEPARATOR 
b	 = 	 IDENTIFIER 
=	 = 	 OPERATOR 
g	 = 	 IDENTIFIER 
*	 = 	 OPERATOR 
n	 = 	 IDENTIFIER 
;	 = 	 SEPARATOR 
z	 = 	 IDENTIFIER 
=	 = 	 OPERATOR 
(	 = 	 SEPARATOR 
x	 = 	 IDENTIFIER 
+	 = 	 OPERATOR 
y	 = 	 IDENTIFIER 
)	 = 	 SEPARATOR 
*	 = 	 OPERATOR 
i	 = 	 IDENTIFIER 
;	 = 	 SEPARATOR 
x	 = 	 IDENTIFIER 
+	 = 	 OPERATOR 
+	 = 	 OPERATOR 
